text|labels
A pan widział |0
"? Bo ja 78 razy.
"|0
"Jestem z powołania urzędnikiem, nie takim w zarękawkach, tylko takim, który bardzo poważnie zajmuje się sprawami państwowymi. W ministerstwie doskonale mi się pracuje. Połączenie tej pracy z pracą w Senacie byłoby czymś dobrym. Senat to nie izba zadumy, jak niektórzy sądzą. Tam można wiele zdziałać.
"|0
"Jeżeli państwo ode mnie oczekują, że będą mówiła słowa wygładzone przez PR-owców, to się państwo tego nie doczekają. Ja nigdy nie kłamię, zawsze mówię prawdę.
"|0
"Nie jestem tutaj od tego, żeby ładnie prezentować, tylko żeby pracować.
"|0
"Nie mam złudzeń: wszędzie w Europie, gdzie są bramki, tam są korki. Wczoraj sprawdzałam: korki w Chorwacji sięgają 10 czy 12 km, we Włoszech, we Francji, tam, gdzie są bramki, tam są korki.
"|0
"Nie przyjaźnię się z tymi, którzy zajmują się polityką dla niej samej. Polityka ma realizować cele, które służą wszystkim. Niestety, ciągle widzę wokół siebie osoby, dla których polityka jest wyłącznie grą.
"|0
"Pasażerom to można tylko powiedzieć jakby: Sorry, mamy taki klimat. No niestety… Natomiast panu mogę powiedzieć i widzom, że wyjechało dzisiaj na tory cztery tysiące pociągów i dwa utknęły z powodu oblodzenia sieci. Na cztery tysiące – dwa.
"|0
"To co potem się stało w niektórych mediach, to jednak mnie czegoś nauczyło o tym jak wyglądają nasze media. Po raz pierwszy w moim 50 letnim życiu zaczęłam być atakowana jako kobieta, po raz pierwszy traktowano mnie jako blondynkę po tej wypowiedzi. To było dla mnie nowe doświadczenie.
"|0
"To pewnie przyspieszyło decyzję premiera. Wczoraj mi radzono, żebym nie mówiła, że się boję, że się denerwuję. Ale musiałabym być nienormalna, gdybym się nie obawiała tego, o czym pani mówi. Oczywiście, że się obawiam. Zawieje, zamiecie, zamarznięty, przepraszam, kibel w pociągu. To będą teraz nasze sprawy.
"|0
"Dosyć trudno wykreować mafię jeżeli ona sama się nie wykreuje.
"|0
"Generał Petelicki powinien teraz wystawić na licytację swój cyrkowy mundurek i z tego pokryć koszty całej operacji.
"|0
"Gdybym wiedział, że jedno życie policjanta ma być zagrożone lub Pałac Kultury miałby zostać wysadzony, wysadziłbym Pałac Kultury.
"|0
"Trudno mówić o sukcesie lustracji. Ten proces jest smutnym, niekiedy może i tragicznym, ale nieodzownym postępowaniem.
"|0
"Nie. Nie żałuję. Choć jest we mnie dusza sportowca, osoby, która lubi rywalizację, która z taką pozytywną zazdrością patrzy na to, co się dzieje na arenach międzynarodowych. Znajomi czasem mi mówią „słuchaj Leszek, popatrz na wyniki na przykład Pucharu Świata, przecież Ty byś to wygrał nawet z jednym upadkiem”. Ale zdaję sobie sprawę z tego, że sam trening na sali, bycie zawodnikiem, nie sprawia mi już satysfakcji. Ciągną mnie inne rzeczy. I póki mam siłę, póki mam ochotę, chcę się spełniać w innej roli.
"|0
"Sport jest moim życiem, ale życiem jest też rodzina. Nie można tego kategoryzować. Gdy mam żonę i dziecko, uprawiam sport i odnoszę sukcesy przede wszystkim dla nich.
"|0
"Ja będę do pana apelował, aby pan zaapelował, jako przewodniczący Sekuła, do sprawozdawcy Sekuły, żeby sprawozdawca Sekuła przyjął wniosek przewodniczącego Sekuły.
"|0
"Jeśli Mariusz Kamiński kieruje służbą specjalną, która zajmuje się określonym tematem, to powinien wiedzieć, że premier wcześniej zlecił prace nad nową ustawą, a przynajmniej nad założeniami do nowej ustawy, czyli tak naprawdę proces legislacyjny toczył się gdzieś z boku. Być może można było poczekać, być może można było te działania operacyjne rozszerzyć, przeprowadzić je bardziej profesjonalnie, bo tak naprawdę co my mamy. Mamy Chlebowskiego, który opowiada rzeczy przez telefon, które wszyscy czytaliśmy, mamy ministra Drzewieckiego i akcję Rosół, potencjalny przeciek. Tak prawdę mówiąc, nic z tego nie wynika na tą chwilę, z tych działań tylko CBA mówię, bo ilość innych dokumentów poszerza obserwację, poszerza.
"|0
"Jeżeli premier rządu przy publicznym przesłuchaniu mówi: „tak, popełniłem błąd jako premier, podejmując takie, a nie inne decyzje”, świadczy to o tym, że jednak do czegoś ta komisja dochodzi.
"|0
"Które przykazanie pan realizuje, stygmatyzując dzieci z in vitro? Na jakich wartościach pan się opiera? Jakim prawem stygmatyzuje pan dzieci żyjące dzięki tej metodzie? Prowadzenie dyskusji w tym tonie jest skandalem i nadużyciem. W XXI wieku w centrum nowoczesnego świata posłowie PiS porównują in vitro do aborcji, mówią, że to zabójstwo. Jakim prawem?
"|0
"Mam wrażenie, że zachowuje się pan czasem jak Howard Webb. Jedne faule pan widzi, drugich nie.
"|0
"Nie będziemy się kierować interesami producentów, kierujemy się interesami pacjentów.
"|0
"PO jest obła, śliska, taka masa, która się podporządkowuje oczekiwaniom zewnętrznym. (…) Mistrzem plastikowości jest Donald Tusk. Szanuję go jako premiera, ale on jest strasznie miałki poglądowo.
"|0
"Świat i życie idą naprzód, ale Kaczyński jaki był, taki będzie.
"|0
